Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic,,
6551,Paulus,5171,92.11%,1.37%,2.28%,0.27%,1.22%,2.75%,,
6551,Peppers,5171,66.89%,26.96%,0.35%,0.81%,3.13%,1.86%,,
6594,Peake,5137,73.54%,19.70%,0.58%,0.97%,2.80%,2.39%,,
6604,Persinger,5131,94.43%,1.44%,0.31%,0.51%,1.38%,1.93%,,
6609,Pugliese,5126,93.97%,0.39%,0.55%,0.10%,0.76%,4.23%,,
6628,Pizano,5110,5.99%,0.29%,0.20%,0.25%,0.31%,92.95%,,
6644,Piedra,5098,5.00%,0.78%,0.55%,0.12%,0.20%,93.35%,,
6645,Proulx,5096,95.29%,0.33%,0.65%,0.31%,1.24%,2.18%,,
6697,Pagel,5043,94.37%,0.42%,0.69%,0.58%,1.39%,2.56%,,
6716,Parmer,5029,80.39%,12.03%,3.18%,0.50%,2.01%,1.89%,,
6721,Perron,5023,92.28%,2.33%,0.74%,0.86%,1.41%,2.39%,,
6725,Poff,5021,96.28%,0.42%,0.42%,0.14%,1.12%,1.63%,,
6726,Peavy,5016,64.83%,30.00%,0.52%,0.54%,2.17%,1.93%,,
6877,Pearsall,4888,71.79%,23.32%,0.47%,0.80%,1.82%,1.80%,,
6882,Peckham,4885,94.12%,0.37%,0.70%,0.41%,1.80%,2.60%,,
6943,Pastrana,4830,6.52%,(S),6.00%,(S),0.48%,86.63%,,
6968,Peach,4815,92.11%,1.77%,1.37%,0.87%,1.68%,2.20%,,
6976,Pettway,4807,8.22%,87.12%,0.15%,0.10%,2.23%,2.18%,,
6980,Pedigo,4804,94.28%,0.21%,0.56%,0.60%,2.12%,2.23%,,
7031,Parke,4759,88.17%,5.93%,1.39%,0.23%,1.81%,2.48%,,
7042,Polley,4756,87.64%,7.91%,0.71%,0.15%,1.75%,1.85%,,
7057,Propst,4743,87.86%,7.74%,0.48%,0.63%,1.64%,1.64%,,
7075,Pépin,4731,87.80%,0.57%,0.66%,0.19%,0.87%,9.91%,,
7093,Poulos,4722,93.96%,0.44%,0.59%,0.28%,1.76%,2.96%,,
7099,Peden,4716,85.79%,9.25%,0.81%,0.38%,1.82%,1.95%,,
7216,Pankey,4626,49.94%,23.11%,22.01%,0.52%,2.44%,1.99%,,
7224,Peery,4620,86.99%,6.82%,0.80%,0.93%,2.51%,1.95%,,
7228,Pete,4619,29.03%,43.47%,0.74%,21.07%,2.73%,2.97%,,
7272,Pass,4583,69.61%,25.29%,1.03%,0.31%,1.75%,2.03%,,
7279,Pelkey,4579,93.73%,0.41%,0.66%,0.96%,1.75%,2.49%,,
7308,Poon,4564,2.37%,1.95%,91.30%,(S),2.96%,(S),,
7331,Pisano,4551,88.84%,0.26%,0.51%,0.62%,0.90%,8.88%,,
7413,Perri,4491,92.12%,0.89%,(S),(S),0.96%,5.46%,,
7473,Peguero,4457,3.23%,1.28%,0.20%,(S),(S),95.11%,,
7520,Pell,4424,92.11%,1.76%,1.13%,0.43%,1.27%,3.30%,,
7528,Perreault,4420,95.68%,0.32%,0.54%,0.45%,1.15%,1.86%,,
7554,Pfeffer,4400,94.36%,0.20%,0.98%,0.14%,1.43%,2.89%,,
7600,Peele,4373,62.38%,32.56%,0.16%,1.28%,1.90%,1.72%,,
7601,Plumb,4372,94.05%,0.96%,0.55%,0.48%,1.33%,2.63%,,
7625,Poteet,4353,92.81%,0.96%,0.41%,1.19%,2.18%,2.44%,,
7633,Pigg,4349,90.83%,5.29%,0.44%,0.23%,1.49%,1.72%,,
7638,Paiz,4347,9.16%,0.58%,0.81%,1.06%,0.39%,88.01%,,
7655,Puryear,4339,61.95%,32.50%,0.39%,0.37%,2.60%,2.19%,,
7660,Pilkington,4336,94.23%,1.18%,0.60%,0.67%,1.22%,2.10%,,
7684,Pascua,4321,10.62%,0.12%,73.29%,0.12%,9.49%,6.36%,,
7725,Paschall,4296,77.21%,17.53%,0.65%,0.74%,2.07%,1.79%,,
7801,Perera,4242,14.88%,(S),47.19%,(S),2.57%,33.92%,,
7821,Powe,4233,21.85%,72.55%,0.33%,0.33%,3.17%,1.77%,,
7830,Poynter,4229,90.04%,5.56%,0.73%,0.33%,1.70%,1.63%,,
7831,Prévost,4228,75.09%,18.99%,0.43%,0.88%,2.01%,2.60%,,
7837,Percy,4226,67.49%,21.77%,0.95%,1.85%,2.53%,5.42%,,
7842,Paden,4223,70.42%,19.18%,1.37%,1.89%,2.42%,4.71%,,
7851,Pompa,4217,25.42%,0.78%,0.59%,0.28%,0.21%,72.71%,,
7866,Plourde,4208,96.29%,0.36%,0.57%,0.14%,1.09%,1.54%,,
7874,Pendley,4203,94.19%,1.28%,0.29%,0.59%,1.78%,1.86%,,
7876,Pasillas,4201,3.50%,0.24%,0.40%,0.33%,0.29%,95.24%,,
7880,Plumley,4200,94.69%,0.40%,0.26%,0.83%,1.79%,2.02%,,
7907,Pegram,4185,68.75%,26.88%,0.45%,0.45%,1.94%,1.53%,,
7920,Petrillo,4179,95.14%,0.34%,0.60%,0.14%,0.81%,2.97%,,
7933,Paradise,4170,89.71%,3.86%,0.48%,0.53%,2.09%,3.33%,,
7953,Papp,4162,94.74%,0.55%,0.65%,0.84%,1.08%,2.14%,,
7968,Pinder,4151,50.45%,42.71%,0.55%,0.26%,2.31%,3.71%,,
7981,Penland,4142,89.69%,4.06%,0.60%,1.35%,1.59%,2.70%,,
7981,Philpott,4142,86.09%,7.68%,0.46%,1.38%,1.76%,2.63%,,
7997,Pelfrey,4136,94.56%,0.51%,0.56%,0.58%,1.96%,1.84%,,
8019,Pawlak,4127,95.64%,0.29%,0.68%,0.29%,1.26%,1.84%,,
8027,Polson,4125,89.75%,4.19%,1.26%,0.70%,1.65%,2.45%,,
8042,Palladino,4115,95.80%,(S),0.36%,(S),0.61%,2.96%,,
8049,Pastore,4112,92.61%,0.51%,(S),(S),0.88%,5.62%,,
8067,Polite,4108,14.68%,78.12%,0.56%,1.12%,3.24%,2.29%,,
8103,Pursley,4091,87.53%,6.16%,0.39%,0.68%,2.42%,2.81%,,
8159,Paquin,4064,89.91%,0.44%,0.49%,5.46%,1.77%,1.92%,,
8168,Presnell,4058,94.97%,1.21%,0.30%,0.64%,1.55%,1.33%,,
8206,Pitchford,4044,67.61%,25.67%,0.49%,1.19%,2.35%,2.70%,,
8209,Prouty,4042,92.83%,0.37%,0.59%,0.79%,1.36%,4.06%,,
8228,Polito,4032,87.72%,(S),1.24%,(S),1.19%,9.33%,,
8241,Parkin,4022,89.58%,3.63%,1.19%,0.45%,1.74%,3.41%,,
8249,Prickett,4016,93.65%,1.29%,0.25%,0.50%,1.77%,2.54%,,
8259,Piercy,4012,91.80%,3.84%,0.65%,0.25%,1.25%,2.22%,,
8263,Pellegrini,4011,93.59%,(S),0.42%,(S),1.05%,4.54%,,
8291,Placencia,3996,5.63%,0.33%,0.50%,0.35%,0.28%,92.92%,,
8308,Press,3989,86.36%,6.59%,1.50%,0.35%,1.40%,3.79%,,
8368,Popovich,3957,94.14%,0.40%,0.81%,0.15%,1.31%,3.18%,,
8377,Priester,3951,53.38%,42.24%,0.25%,0.30%,1.77%,2.05%,,
8389,Pohlman,3945,97.47%,(S),0.30%,(S),0.71%,1.29%,,
8432,Peachey,3918,95.48%,1.79%,(S),(S),0.69%,1.53%,,
8453,Pollak,3908,94.27%,0.97%,0.61%,0.31%,1.10%,2.74%,,
8469,Patti,3899,88.95%,0.54%,5.39%,0.41%,1.03%,3.69%,,
8496,Pereyra,3877,6.50%,0.44%,4.59%,0.13%,0.59%,87.75%,,
8496,Poulsen,3877,94.09%,0.23%,0.90%,0.44%,1.26%,3.07%,,
8518,Pahl,3864,93.81%,0.72%,1.79%,0.36%,1.32%,1.99%,,
8518,Pegues,3864,12.76%,80.69%,0.34%,0.23%,3.65%,2.33%,,
8541,Petrone,3854,93.80%,(S),0.49%,(S),0.62%,4.64%,,
8570,Pal,3844,19.56%,2.47%,69.35%,0.55%,4.92%,3.15%,,
8623,Pifer,3814,94.73%,0.73%,0.68%,0.58%,1.84%,1.44%,,
8669,Patch,3790,93.48%,0.92%,1.00%,0.84%,1.32%,2.43%,,
8679,Prine,3786,93.21%,1.19%,0.98%,0.66%,1.53%,2.43%,,
8700,Pray,3773,84.10%,9.12%,0.69%,0.53%,2.04%,3.53%,,
8728,Plowman,3757,94.86%,0.45%,0.77%,0.43%,1.44%,2.05%,,
8749,Pumphrey,3749,79.33%,14.99%,0.21%,0.37%,2.77%,2.32%,,
8763,Pye,3743,65.13%,28.48%,1.36%,0.64%,2.48%,1.90%,,
8772,Partain,3737,94.19%,0.51%,0.37%,1.36%,1.50%,2.06%,,
8773,Peer,3736,90.66%,2.84%,2.03%,0.40%,1.31%,2.76%,,
8793,Pasquale,3726,91.92%,0.64%,0.56%,1.23%,1.32%,4.32%,,
8797,Pavlik,3725,96.46%,(S),(S),0.30%,0.83%,2.07%,,
8808,Peart,3717,48.94%,43.23%,0.48%,0.73%,2.64%,3.98%,,
8817,Perrotta,3713,95.85%,0.24%,0.54%,0.19%,0.51%,2.67%,,
8822,Peluso,3712,94.37%,(S),1.19%,(S),1.00%,3.18%,,
8822,Provenzano,3712,93.64%,(S),0.57%,(S),0.92%,4.58%,,
8834,Pharr,3709,67.62%,27.15%,0.65%,0.67%,1.89%,2.02%,,
8841,Pinkham,3706,93.01%,0.57%,0.65%,2.02%,1.73%,2.02%,,
8848,Parrett,3703,88.71%,4.54%,0.43%,1.54%,2.40%,2.38%,,
8872,Phares,3691,94.50%,1.68%,0.35%,0.43%,1.08%,1.95%,,
8875,Paulin,3689,64.08%,11.28%,2.74%,0.22%,1.82%,19.87%,,
8920,Pinter,3669,88.93%,1.06%,0.63%,0.27%,0.87%,8.23%,,
8962,Perlman,3653,95.84%,(S),0.79%,(S),0.90%,2.03%,,
8994,Patricio,3636,25.44%,1.95%,13.48%,2.83%,1.98%,54.32%,,
9017,Paugh,3626,94.70%,0.97%,0.80%,0.44%,1.68%,1.41%,,
9025,Partlow,3623,73.09%,21.75%,0.41%,0.63%,2.10%,2.01%,,
9033,Player,3617,59.75%,35.42%,0.44%,0.28%,2.02%,2.10%,,
9058,Plasencia,3608,5.10%,0.19%,(S),(S),(S),94.51%,,
9064,Persons,3606,85.11%,8.54%,0.97%,0.31%,2.38%,2.69%,,
9084,Polo,3598,34.49%,3.42%,2.42%,0.19%,0.39%,59.09%,,
9104,Pavón,3589,9.28%,0.64%,1.56%,0.17%,0.50%,87.85%,,
9117,Privett,3583,90.68%,4.74%,0.64%,0.31%,1.67%,1.95%,,
9147,Pletcher,3567,95.54%,1.18%,0.53%,0.50%,0.95%,1.29%,,
9150,Priebe,3565,95.93%,0.17%,0.34%,0.34%,0.73%,2.50%,,
9177,Posadas,3554,4.64%,(S),17.08%,(S),1.07%,77.01%,,
9199,Purser,3545,91.62%,0.99%,0.39%,2.51%,1.44%,3.05%,,
9217,Preece,3536,95.56%,0.20%,0.45%,0.25%,0.76%,2.77%,,
9234,Porto,3526,72.94%,0.99%,1.82%,0.23%,0.60%,23.43%,,
9271,Pandya,3512,2.11%,0.14%,94.42%,0.26%,2.51%,0.57%,,
9320,Pasley,3493,68.48%,26.34%,0.40%,0.46%,1.86%,2.46%,,
9368,Phinney,3472,93.29%,1.58%,0.75%,0.20%,1.64%,2.53%,,
9382,Perna,3467,90.71%,0.37%,2.71%,0.17%,1.10%,4.93%,,
9384,Poteat,3465,62.45%,32.61%,0.38%,0.49%,1.88%,2.19%,,
9389,Paré,3464,90.99%,2.17%,3.03%,0.17%,1.13%,2.51%,,
9395,Piñeiro,3461,13.87%,0.35%,0.26%,(S),(S),85.21%,,
9451,Pick,3442,89.40%,0.73%,2.44%,0.55%,1.02%,5.87%,,
9466,Poulson,3437,85.28%,9.81%,0.84%,0.35%,1.80%,1.92%,,
9471,Peet,3434,82.29%,10.02%,0.84%,0.70%,2.01%,4.14%,,
9493,Pickle,3425,94.22%,1.46%,0.26%,0.70%,1.61%,1.75%,,
9583,Pinzón,3392,7.49%,0.18%,3.83%,0.00%,0.21%,88.30%,,
9624,Pitzer,3375,94.52%,0.98%,0.68%,0.74%,1.27%,1.81%,,
9627,Palazzolo,3374,95.17%,(S),0.50%,(S),1.22%,2.61%,,
9633,Partee,3369,42.21%,51.47%,0.59%,0.42%,3.15%,2.17%,,
9643,Paiva,3365,78.48%,1.75%,2.17%,0.30%,4.87%,12.42%,,
9648,Palmisano,3363,94.92%,0.24%,0.36%,0.21%,1.07%,3.21%,,
9652,Pecoraro,3362,95.12%,(S),0.51%,(S),0.83%,3.21%,,
9691,Páramo,3348,3.70%,(S),0.27%,0.24%,(S),95.55%,,
9722,Pascoe,3336,88.88%,5.16%,(S),(S),1.68%,3.48%,,
9730,Poppe,3333,95.02%,(S),0.72%,(S),1.05%,2.76%,,
9745,Phoenix,3326,53.01%,36.02%,0.93%,2.92%,4.09%,3.04%,,
9756,Paynter,3322,87.18%,6.38%,0.60%,0.45%,2.08%,3.31%,,
9760,Penton,3321,76.87%,7.38%,0.66%,0.69%,1.81%,12.59%,,
9767,Percival,3317,85.14%,8.29%,1.21%,0.57%,1.48%,3.32%,,
9770,Parekh,3316,2.68%,0.36%,93.79%,0.42%,2.26%,0.48%,,
9777,Petrick,3315,95.44%,0.48%,0.66%,0.27%,1.09%,2.05%,,
9780,Polak,3313,93.45%,1.03%,1.21%,0.30%,1.33%,2.69%,,
9794,Patty,3306,85.18%,7.35%,1.03%,1.21%,2.15%,3.09%,,
9800,Poor,3303,92.37%,1.00%,0.88%,1.33%,1.27%,3.15%,,
9803,Pendergast,3302,93.58%,1.91%,0.88%,0.33%,1.48%,1.82%,,
9827,Polston,3295,91.78%,3.10%,0.52%,0.76%,1.76%,2.09%,,
9830,Prejean,3294,68.55%,27.99%,(S),(S),1.37%,1.76%,,
9854,Pelham,3282,76.20%,17.09%,0.64%,0.37%,1.71%,3.99%,,
9877,Portis,3274,20.28%,70.49%,1.01%,0.27%,3.79%,4.15%,,
9884,Palmore,3271,37.76%,54.85%,0.43%,0.40%,3.52%,3.06%,,
9912,Pellerin,3259,88.19%,6.04%,1.01%,0.64%,2.15%,1.96%,,
9912,Penick,3259,76.96%,17.89%,0.43%,0.46%,2.85%,1.41%,,
9919,Peay,3256,49.36%,45.36%,0.28%,0.71%,2.83%,1.47%,,
9925,Paladino,3253,91.98%,0.22%,0.98%,0.34%,1.17%,5.32%,,
9940,Parkes,3246,76.22%,17.84%,0.77%,0.22%,1.69%,3.27%,,
9949,Provencher,3245,95.32%,0.31%,0.59%,0.15%,1.73%,1.91%,,
9959,Palencia,3241,3.55%,0.28%,6.91%,0.00%,1.33%,87.94%,,
9969,Pauly,3235,94.34%,0.68%,1.64%,0.25%,0.93%,2.16%,,
10001,Pritt,3223,95.28%,0.71%,0.74%,0.34%,1.46%,1.46%,,
10036,Ping,3209,61.89%,1.18%,19.48%,0.22%,1.90%,15.33%,,
10036,Poss,3209,92.83%,3.02%,0.47%,0.37%,1.34%,1.96%,,
10046,Pound,3206,89.05%,4.99%,1.90%,0.56%,1.62%,1.87%,,
10064,Palazzo,3203,93.88%,(S),0.50%,(S),1.09%,4.03%,,
10095,Perrault,3190,83.42%,6.36%,0.97%,2.82%,2.29%,4.14%,,
10125,Pulver,3183,94.06%,0.22%,0.91%,0.38%,1.13%,3.30%,,
10132,Parmenter,3182,94.91%,0.75%,0.60%,0.31%,1.35%,2.07%,,
10176,Parente,3170,91.23%,0.25%,1.20%,0.00%,1.23%,6.09%,,
10193,Pizzo,3161,94.78%,(S),0.54%,(S),1.30%,2.97%,,
10204,Pettaway,3157,6.75%,86.09%,0.38%,0.51%,3.80%,2.47%,,
10204,Posner,3157,94.81%,0.22%,1.27%,0.00%,1.11%,2.60%,,
10224,Primm,3153,69.36%,26.51%,0.57%,0.19%,1.97%,1.40%,,
10237,Pettiford,3148,7.12%,83.10%,0.51%,0.41%,6.19%,2.67%,,
10245,Pooler,3146,76.26%,16.88%,0.60%,1.30%,2.57%,2.38%,,
10280,Petterson,3136,80.48%,11.77%,0.57%,0.70%,1.69%,4.78%,,
10280,Pipes,3136,80.45%,14.25%,0.73%,0.32%,2.10%,2.14%,,
10314,Pascal,3124,47.09%,38.09%,1.47%,0.54%,1.95%,10.85%,,
10339,Petri,3115,93.87%,(S),0.83%,(S),1.77%,2.83%,,
10339,Puleo,3115,93.03%,0.45%,(S),(S),1.51%,4.65%,,
10358,Peirce,3111,91.00%,3.25%,0.84%,0.45%,1.93%,2.54%,,
10382,Pillow,3103,73.48%,21.46%,0.19%,0.90%,2.32%,1.64%,,
10422,Pyne,3089,86.53%,8.29%,1.23%,0.71%,1.49%,1.75%,,
10445,Postell,3080,44.97%,49.81%,0.16%,0.52%,2.82%,1.72%,,
10473,Petree,3067,91.82%,2.12%,0.52%,1.47%,2.02%,2.05%,,
10480,Pando,3065,18.17%,0.65%,0.59%,0.36%,0.33%,79.90%,,
10480,Putney,3065,88.32%,6.66%,1.01%,0.49%,1.70%,1.83%,,
10491,Paton,3059,87.48%,5.26%,1.31%,0.49%,1.47%,3.99%,,
10572,Panek,3032,95.51%,(S),0.73%,(S),0.82%,2.57%,,
10615,Pinney,3016,90.22%,3.18%,0.63%,0.90%,2.09%,2.98%,,
10620,Prokop,3015,95.99%,(S),0.73%,(S),1.19%,1.89%,,
10631,Petrucci,3012,95.72%,0.27%,0.53%,0.00%,0.96%,2.52%,,
10638,Pearlman,3009,95.25%,(S),0.66%,(S),1.03%,2.49%,,
10649,Pledger,3004,64.91%,30.19%,0.77%,0.40%,2.10%,1.63%,,
10675,Patin,2996,72.50%,17.26%,1.44%,0.30%,1.47%,7.04%,,
10697,Peloquin,2988,95.85%,(S),0.77%,(S),1.14%,1.84%,,
10721,Paisley,2980,83.39%,11.71%,0.50%,0.54%,1.48%,2.38%,,
10777,Petrosky,2960,94.53%,0.20%,0.51%,0.17%,1.52%,3.07%,,
10782,Pauls,2958,85.13%,10.48%,0.68%,0.24%,1.56%,1.93%,,
10837,Peiffer,2938,95.98%,0.44%,0.54%,0.34%,1.09%,1.60%,,
10847,Porch,2936,63.66%,30.52%,0.48%,0.41%,2.79%,2.15%,,
10891,Prudhomme,2925,67.11%,26.60%,0.72%,0.27%,2.46%,2.84%,,
10894,Ponte,2924,76.92%,0.92%,2.05%,0.41%,1.09%,18.60%,,
10903,Pigott,2920,80.58%,13.94%,0.65%,0.21%,1.95%,2.67%,,
10919,Philbrick,2915,94.55%,0.17%,0.55%,1.17%,1.89%,1.68%,,
10924,Petrella,2913,96.57%,(S),0.48%,(S),0.72%,1.72%,,
10931,Parmar,2912,3.91%,0.86%,90.45%,0.48%,3.30%,1.00%,,
10942,Pearman,2910,82.27%,9.90%,0.72%,2.71%,1.89%,2.51%,,
10954,Pokorný,2905,95.15%,0.21%,0.69%,0.21%,1.20%,2.55%,,
11007,Pyatt,2890,71.90%,21.38%,0.66%,0.38%,2.49%,3.18%,,
11040,Palos,2880,9.83%,(S),1.84%,(S),0.73%,87.29%,,
11109,Plyler,2856,94.89%,0.25%,0.49%,0.88%,1.54%,1.96%,,
11118,Prochaska,2852,96.04%,(S),0.46%,(S),1.16%,1.93%,,
11135,Pernell,2845,31.95%,63.13%,(S),(S),2.67%,1.79%,,
11142,Pecina,2842,9.71%,(S),0.28%,(S),0.00%,89.83%,,
11163,Pittenger,2834,95.70%,(S),0.81%,(S),1.13%,1.66%,,
11174,Pesce,2830,94.10%,0.49%,(S),(S),0.32%,4.77%,,
11200,Plaisance,2822,93.41%,1.56%,0.53%,1.24%,1.67%,1.59%,,
11269,Penrose,2806,89.49%,3.88%,1.14%,0.36%,2.57%,2.57%,,
11269,Pisani,2806,94.12%,0.32%,0.86%,0.29%,0.57%,3.85%,,
11273,Piccolo,2804,93.54%,(S),0.57%,(S),1.28%,4.03%,,
11283,Pereda,2800,6.36%,(S),6.04%,(S),1.00%,86.29%,,
11283,Port,2800,92.14%,2.36%,1.25%,0.39%,1.93%,1.93%,,
11318,Patil,2790,2.58%,0.36%,94.19%,0.39%,1.90%,0.57%,,
11319,Prunty,2789,71.42%,22.66%,0.36%,0.32%,2.55%,2.69%,,
11339,Platz,2783,93.64%,(S),0.68%,(S),1.29%,4.17%,,
11362,Plum,2777,93.23%,2.12%,0.94%,0.47%,1.58%,1.66%,,
11371,Paik,2774,8.58%,0.61%,86.37%,0.00%,3.24%,1.19%,,
11420,Polzin,2759,95.94%,0.22%,0.36%,0.36%,1.16%,1.96%,,
11428,Popa,2757,87.27%,0.80%,2.50%,0.00%,1.99%,7.44%,,
11456,Proper,2750,94.33%,0.91%,0.44%,0.73%,2.25%,1.35%,,
11508,Prout,2733,75.23%,16.54%,0.91%,1.94%,3.37%,2.01%,,
11516,Parise,2731,93.85%,(S),0.92%,(S),0.99%,3.22%,,
11540,Pardee,2725,94.64%,0.26%,0.92%,0.22%,1.28%,2.68%,,
11624,Perillo,2698,89.47%,0.48%,3.00%,0.37%,1.26%,5.41%,,
11631,Pasco,2695,64.45%,6.01%,16.44%,0.19%,4.01%,8.91%,,
11648,Pascale,2691,92.05%,1.45%,0.74%,0.41%,1.04%,4.31%,,
11648,Pegg,2691,92.68%,2.23%,0.48%,0.74%,2.34%,1.52%,,
11669,Picazo,2687,3.01%,(S),3.68%,(S),0.41%,92.59%,,
11675,Padula,2685,90.39%,(S),2.57%,(S),0.71%,5.92%,,
11679,Petitt,2684,85.06%,7.79%,0.75%,0.60%,2.46%,3.35%,,
11683,Pridemore,2683,94.78%,0.30%,0.48%,1.01%,1.45%,1.98%,,
11697,Parkins,2679,81.90%,12.92%,0.56%,0.41%,1.19%,3.02%,,
11722,Pickel,2673,94.91%,1.72%,0.19%,0.22%,0.86%,2.10%,,
11759,Pendergraft,2664,88.59%,2.36%,0.68%,2.48%,3.34%,2.55%,,
11767,Pesina,2662,7.81%,0.56%,2.18%,0.19%,0.45%,88.81%,,
11783,Pucci,2659,95.34%,(S),0.34%,(S),1.28%,2.63%,,
11810,Pearcy,2650,89.43%,4.87%,0.68%,0.45%,1.74%,2.83%,,
11821,Pilon,2647,82.02%,0.49%,0.83%,0.30%,1.28%,15.07%,,
11829,Plaster,2646,91.35%,1.47%,0.49%,2.19%,1.78%,2.72%,,
11865,Peltz,2639,94.09%,(S),0.64%,(S),1.44%,3.60%,,
11899,Pera,2631,46.83%,1.71%,2.85%,0.38%,0.49%,47.74%,,
11899,Privette,2631,85.37%,11.55%,(S),(S),0.99%,1.52%,,
11928,Penley,2624,96.53%,0.84%,0.38%,0.19%,0.80%,1.26%,,
11928,Polansky,2624,96.30%,0.30%,0.80%,0.34%,0.84%,1.41%,,
11942,Paxson,2618,90.95%,0.38%,0.34%,3.74%,1.91%,2.67%,,
11946,Polly,2617,86.97%,8.02%,1.22%,0.84%,1.53%,1.41%,,
11960,Primus,2613,35.78%,58.21%,0.27%,0.38%,3.06%,2.30%,,
11971,Phillippi,2609,93.83%,1.84%,0.57%,0.50%,1.23%,2.03%,,
11977,Pursell,2608,96.13%,(S),1.04%,(S),1.04%,1.50%,,
11993,Plott,2604,91.97%,4.38%,0.54%,0.73%,1.11%,1.27%,,
11998,Parkman,2603,63.54%,30.27%,0.54%,0.27%,3.38%,2.00%,,
12025,Pless,2596,77.93%,17.14%,(S),(S),1.77%,2.39%,,
12035,Pruden,2593,82.26%,13.61%,0.19%,0.35%,1.47%,2.12%,,
12055,Pryce,2587,38.00%,56.44%,0.35%,0.19%,2.13%,2.90%,,
12059,Polen,2586,87.66%,7.15%,0.54%,0.39%,1.24%,3.02%,,
12064,Piñero,2585,12.07%,1.86%,3.87%,(S),(S),81.66%,,
12079,Pullin,2581,81.83%,12.28%,0.50%,0.93%,1.39%,3.06%,,
12083,Pouliot,2579,94.88%,(S),0.54%,(S),1.36%,2.87%,,
12089,Pink,2578,69.16%,23.89%,0.58%,0.50%,2.17%,3.69%,,
12212,Puglisi,2550,94.43%,(S),0.31%,(S),0.86%,4.08%,,
12285,Pfeil,2531,96.21%,0.32%,0.40%,0.28%,0.87%,1.94%,,
12312,Putt,2525,93.47%,0.44%,1.43%,0.48%,1.82%,2.38%,,
12357,Pixley,2516,84.62%,10.69%,0.64%,0.52%,1.27%,2.27%,,
12389,Purifoy,2511,33.05%,60.89%,0.20%,0.32%,3.70%,1.83%,,
12395,Pecora,2509,93.30%,0.28%,0.80%,1.08%,0.88%,3.67%,,
12399,Peterkin,2507,24.89%,68.01%,(S),(S),3.11%,3.39%,,
12399,Plumlee,2507,92.38%,0.60%,0.96%,1.00%,2.55%,2.51%,,
12411,Padua,2505,8.62%,(S),49.62%,(S),3.79%,37.33%,,
12421,Potvin,2503,96.40%,0.28%,0.68%,0.28%,0.84%,1.52%,,
12435,Pankratz,2498,94.72%,0.24%,0.52%,0.56%,1.68%,2.28%,,
12447,Prakash,2494,3.93%,(S),86.45%,(S),8.46%,0.80%,,
12454,Preuss,2492,94.78%,0.24%,0.76%,0.44%,1.61%,2.17%,,
12473,Pentecost,2489,89.39%,4.82%,0.96%,0.68%,1.33%,2.81%,,
12482,Puccio,2487,90.71%,(S),0.40%,(S),0.60%,7.88%,,
12485,Petrovich,2485,92.96%,0.44%,0.44%,0.24%,1.01%,4.91%,,
12491,Pozo,2482,6.65%,1.29%,0.20%,0.24%,0.20%,91.42%,,
12531,Piscitelli,2473,95.43%,(S),0.32%,(S),0.97%,2.83%,,
12531,Pompey,2473,20.10%,71.65%,(S),(S),3.68%,3.60%,,
12541,Perla,2470,27.09%,(S),3.32%,(S),0.65%,68.38%,,
12554,Pantaleon,2467,3.40%,1.95%,13.74%,(S),(S),79.98%,,
12557,Pathak,2466,2.23%,(S),94.36%,(S),2.19%,0.57%,,
12566,Paras,2463,37.35%,2.11%,45.47%,0.32%,2.96%,11.77%,,
12637,Parvin,2449,73.25%,0.57%,21.27%,0.33%,1.63%,2.94%,,
12652,Pinheiro,2445,81.23%,4.79%,3.35%,0.37%,2.45%,7.81%,,
12662,Polizzi,2441,95.62%,0.29%,0.29%,0.00%,0.61%,3.20%,,
12667,Pinkard,2440,46.43%,45.49%,0.53%,0.41%,3.77%,3.36%,,
12711,Pressler,2429,94.69%,0.62%,0.33%,0.49%,1.56%,2.31%,,
12724,Palmeri,2426,89.82%,1.03%,1.36%,(S),(S),6.84%,,
12745,Pennock,2421,92.44%,2.52%,0.41%,1.40%,1.40%,1.82%,,
12837,Perreira,2398,53.63%,(S),9.22%,(S),16.14%,16.35%,,
12886,Poorman,2387,91.45%,1.72%,0.59%,3.39%,1.47%,1.38%,,
12889,Puma,2386,61.36%,0.38%,2.81%,0.34%,1.05%,34.07%,,
12897,Pons,2384,45.01%,0.63%,3.36%,0.29%,1.09%,49.62%,,
12921,Poplin,2379,94.12%,0.76%,0.59%,1.43%,1.43%,1.68%,,
12931,Pullins,2376,60.65%,34.34%,0.46%,0.59%,2.06%,1.89%,,
12971,Patlan,2367,5.37%,(S),0.30%,0.51%,(S),93.54%,,
12971,Poché,2367,80.90%,10.48%,(S),(S),1.06%,6.46%,,
13042,Petersheim,2354,98.34%,(S),(S),0.30%,0.25%,1.02%,,
13049,Pollitt,2353,89.59%,5.99%,0.51%,0.21%,1.61%,2.08%,,
13081,Prentiss,2347,78.40%,14.15%,0.81%,2.26%,1.66%,2.73%,,
13088,Pascarella,2344,95.18%,0.26%,0.64%,0.30%,0.68%,2.94%,,
13109,Pabst,2338,95.64%,(S),0.60%,(S),1.24%,1.92%,,
13142,Pasternak,2329,96.05%,(S),0.56%,(S),1.07%,2.10%,,
13142,Purkey,2329,91.58%,2.53%,0.26%,1.07%,2.02%,2.53%,,
13148,Pita,2328,17.57%,1.76%,7.73%,0.00%,1.59%,71.35%,,
